feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,Observations,num_features
"(0,)",[0.57       0.56616964 0.56819257 0.56907651 0.5669247 ],0.5680726860603348,"('0',)",0.0017879878090106011,0.0013911152597621994,0.0006955576298810996,404,1
"(0, 3)",[0.59803571 0.59884821 0.59870177 0.59955892 0.59689819],0.5984085627837239,"('0', '3')",0.0011528781499259286,0.0008969783680437068,0.0004484891840218534,404,2
"(0, 3, 6)",[0.612125   0.6123125  0.61190725 0.61363048 0.61183582],0.6123622095956215,"('0', '3', '6')",0.0008430805702434454,0.000655945326116997,0.0003279726630584985,404,3
"(0, 3, 6, 19)",[0.62257143 0.62109821 0.62296985 0.62229127 0.62277342],0.6223408357759571,"('0', '3', '6', '19')",0.0008491720293841267,0.0006606846882771388,0.0003303423441385694,404,4
"(0, 3, 6, 12, 19)",[0.62655357 0.62478571 0.62626452 0.62773775 0.6257913 ],0.6262265710599457,"('0', '3', '6', '12', '19')",0.0012404957502957943,0.000965147837815267,0.0004825739189076335,404,5
"(0, 3, 4, 6, 12, 19)",[0.63089286 0.62639286 0.63271993 0.62908597 0.62833597],0.6294855181104934,"('0', '3', '4', '6', '12', '19')",0.002785715603303285,0.0021673813801097812,0.0010836906900548908,404,6
"(0, 3, 4, 6, 10, 12, 19)",[0.63196429 0.63083036 0.63143421 0.63224672 0.63114849],0.6315248121953896,"('0', '3', '4', '6', '10', '12', '19')",0.0006669597592062579,0.0005189173516751011,0.0002594586758375505,404,7
"(0, 3, 4, 6, 10, 12, 19, 21)",[0.63264286 0.63090179 0.6315235  0.63376459 0.63172885],0.6321123161016744,"('0', '3', '4', '6', '10', '12', '19', '21')",0.0012815078012502158,0.0009970566067841178,0.0004985283033920588,404,8
"(0, 3, 4, 6, 10, 12, 18, 19, 21)",[0.63446429 0.63480357 0.63453245 0.63497888 0.63350566],0.6344569696731986,"('0', '3', '4', '6', '10', '12', '18', '19', '21')",0.0006561973916567686,0.0005105438640854127,0.00025527193204270636,404,9
"(0, 3, 4, 6, 10, 12, 16, 18, 19, 21)",[0.63350893 0.63519643 0.63376459 0.63425566 0.63379137],0.6341033960921846,"('0', '3', '4', '6', '10', '12', '16', '18', '19', '21')",0.0007676203810353942,0.0005972347352601438,0.0002986173676300719,404,10
