PCA_COM,n_neighbor,acc
1,1,0.5461285714285714
1,2,0.5461285714285714
1,3,0.5522714285714285
1,4,0.5555571428571429
1,5,0.5573642857142858
1,6,0.5596857142857142
1,7,0.56175
1,8,0.5627642857142857
1,9,0.5644785714285714
1,10,0.5652357142857143
1,11,0.5664428571428571
1,12,0.5676357142857142
1,13,0.5682428571428572
1,14,0.5694071428571429
2,1,0.5446357142857143
2,2,0.5446357142857143
2,3,0.5582571428571429
2,4,0.5616357142857142
2,5,0.5672714285714285
2,6,0.5696
2,7,0.5734071428571429
2,8,0.5752928571428572
2,9,0.5780357142857143
2,10,0.5802928571428572
2,11,0.58245
2,12,0.5848214285714286
2,13,0.58625
2,14,0.58745
3,1,0.5471142857142857
3,2,0.5471142857142857
3,3,0.5627285714285715
3,4,0.5645714285714286
3,5,0.5737
3,6,0.5766571428571429
3,7,0.5811642857142857
3,8,0.5826714285714286
3,9,0.5871857142857143
3,10,0.5880357142857143
3,11,0.5902357142857143
3,12,0.5931071428571428
3,13,0.59535
3,14,0.5978
4,1,0.5540571428571428
4,2,0.5540571428571428
4,3,0.5719642857142857
4,4,0.5736071428571429
4,5,0.5850785714285714
4,6,0.5876571428571429
4,7,0.5929071428571429
4,8,0.5951142857142857
4,9,0.5981428571428572
4,10,0.6016928571428571
4,11,0.6034571428571428
4,12,0.6060571428571428
4,13,0.6075857142857143
4,14,0.6099285714285714
5,1,0.5558571428571428
5,2,0.5558571428571428
5,3,0.5800214285714286
5,4,0.5795428571428571
5,5,0.5914571428571429
5,6,0.5929285714285715
5,7,0.5998928571428571
5,8,0.6006785714285714
5,9,0.6055857142857143
5,10,0.6062285714285714
5,11,0.6097142857142858
5,12,0.6116428571428572
5,13,0.6137928571428571
5,14,0.6155071428571428
6,1,0.5565428571428571
6,2,0.5565428571428571
6,3,0.5791
6,4,0.5801571428571428
6,5,0.5924428571428572
6,6,0.5931714285714286
6,7,0.6016285714285714
6,8,0.6018428571428571
6,9,0.6072071428571428
6,10,0.6080357142857142
6,11,0.6121571428571428
6,12,0.6125714285714285
6,13,0.616
6,14,0.6160428571428571
7,1,0.5666214285714286
7,2,0.5666214285714286
7,3,0.5872071428571428
7,4,0.5878357142857142
7,5,0.59855
7,6,0.5994071428571428
7,7,0.6053857142857143
7,8,0.607
7,9,0.612
7,10,0.6128071428571429
7,11,0.6171928571428571
7,12,0.61805
7,13,0.6196928571428572
7,14,0.6205571428571428
8,1,0.5697642857142857
8,2,0.5697642857142857
8,3,0.5903571428571428
8,4,0.5904428571428572
8,5,0.6029357142857142
8,6,0.6021714285714286
8,7,0.6095357142857143
8,8,0.6097071428571429
8,9,0.6161928571428571
8,10,0.6168
8,11,0.6194357142857143
8,12,0.6205857142857143
8,13,0.6220785714285715
8,14,0.6236142857142857
9,1,0.5715642857142857
9,2,0.5715642857142857
9,3,0.5920714285714286
9,4,0.5928214285714286
9,5,0.6034142857142857
9,6,0.6051857142857143
9,7,0.6117357142857143
9,8,0.6127642857142858
9,9,0.6167071428571429
9,10,0.6176785714285714
9,11,0.6195642857142857
9,12,0.6215571428571428
9,13,0.62305
9,14,0.6236714285714285
10,1,0.5697928571428571
10,2,0.5697928571428571
10,3,0.5919
10,4,0.5918214285714286
10,5,0.6016142857142858
10,6,0.6017857142857143
10,7,0.6083285714285714
10,8,0.6091214285714286
10,9,0.6144071428571428
10,10,0.6143428571428572
10,11,0.6186785714285714
10,12,0.6187857142857143
10,13,0.6217
10,14,0.6219
11,1,0.57055
11,2,0.57055
11,3,0.5913071428571428
11,4,0.5915
11,5,0.6027285714285714
11,6,0.6038785714285714
11,7,0.60885
11,8,0.6103285714285714
11,9,0.6152142857142857
11,10,0.6161928571428571
11,11,0.6192642857142857
11,12,0.6203071428571428
11,13,0.6231428571428571
11,14,0.6229071428571429
12,1,0.5732571428571429
12,2,0.5732571428571429
12,3,0.5916714285714286
12,4,0.5926642857142858
12,5,0.6030642857142857
12,6,0.6038714285714286
12,7,0.6109071428571429
12,8,0.6111071428571428
12,9,0.6152857142857143
12,10,0.6154071428571428
12,11,0.6189714285714286
12,12,0.6194642857142857
12,13,0.6215
12,14,0.6221428571428571
13,1,0.5737571428571429
13,2,0.5737571428571429
13,3,0.59425
13,4,0.5949714285714286
13,5,0.6047428571428571
13,6,0.6053857142857143
13,7,0.6118214285714285
13,8,0.6132857142857143
13,9,0.6175071428571428
13,10,0.6174857142857143
13,11,0.6202642857142857
13,12,0.6208928571428571
13,13,0.6242357142857143
13,14,0.6242
14,1,0.5718142857142857
14,2,0.5718142857142857
14,3,0.5924285714285714
14,4,0.5932642857142857
14,5,0.6033142857142857
14,6,0.6040428571428571
14,7,0.6113428571428572
14,8,0.61075
14,9,0.6145142857142857
14,10,0.6140428571428571
14,11,0.6195214285714286
14,12,0.6187785714285714
14,13,0.6219214285714286
14,14,0.6220785714285715
15,1,0.5717928571428571
15,2,0.5717928571428571
15,3,0.5922357142857143
15,4,0.5927071428571429
15,5,0.6026285714285714
15,6,0.6034071428571428
15,7,0.6106214285714285
15,8,0.61025
15,9,0.6158928571428571
15,10,0.6152285714285715
15,11,0.6196857142857143
15,12,0.6198857142857143
15,13,0.6230285714285714
15,14,0.6231642857142857
16,1,0.57145
16,2,0.57145
16,3,0.5930714285714286
16,4,0.5925571428571429
16,5,0.6032714285714286
16,6,0.6039071428571429
16,7,0.6091642857142857
16,8,0.6094357142857143
16,9,0.6144857142857143
16,10,0.6146714285714285
16,11,0.6188928571428571
16,12,0.6187928571428571
16,13,0.6213785714285714
16,14,0.6223714285714286
17,1,0.5714714285714285
17,2,0.5714714285714285
17,3,0.5915428571428571
17,4,0.5926142857142858
17,5,0.6014857142857143
17,6,0.6020642857142857
17,7,0.6085285714285714
17,8,0.6093571428571428
17,9,0.6143928571428572
17,10,0.6145214285714286
17,11,0.6182285714285715
17,12,0.6192071428571428
17,13,0.6219928571428571
17,14,0.6221
18,1,0.5706857142857142
18,2,0.5706857142857142
18,3,0.5930142857142857
18,4,0.5932357142857143
18,5,0.6035285714285714
18,6,0.60345
18,7,0.61
18,8,0.6101714285714286
18,9,0.6141571428571428
18,10,0.6142785714285715
18,11,0.6191642857142857
18,12,0.6189928571428571
18,13,0.6217857142857143
18,14,0.6220357142857142
19,1,0.5720428571428572
19,2,0.5720428571428572
19,3,0.5942
19,4,0.5941214285714286
19,5,0.6050642857142857
19,6,0.6050285714285715
19,7,0.61175
19,8,0.6118428571428571
19,9,0.6160142857142857
19,10,0.6163285714285714
19,11,0.6206357142857143
19,12,0.6196142857142857
19,13,0.6232714285714286
19,14,0.6239
20,1,0.5735428571428571
20,2,0.5735428571428571
20,3,0.5980357142857143
20,4,0.5983428571428572
20,5,0.6090928571428571
20,6,0.6082642857142857
20,7,0.6162642857142857
20,8,0.6156642857142857
20,9,0.6202642857142857
20,10,0.6210142857142857
20,11,0.6246357142857143
20,12,0.6254642857142857
20,13,0.6280142857142857
20,14,0.62795
21,1,0.5756642857142857
21,2,0.5756642857142857
21,3,0.5966
21,4,0.5978357142857142
21,5,0.6075
21,6,0.6079857142857142
21,7,0.6162071428571428
21,8,0.6148928571428571
21,9,0.6213142857142857
21,10,0.6211214285714286
21,11,0.6247928571428571
21,12,0.6257571428571429
21,13,0.6285642857142857
21,14,0.6283642857142857
22,1,0.57695
22,2,0.57695
22,3,0.6003357142857143
22,4,0.6001571428571428
22,5,0.6111071428571428
22,6,0.6116428571428572
22,7,0.6172142857142857
22,8,0.6172785714285715
22,9,0.6243857142857143
22,10,0.6233428571428571
22,11,0.6274571428571428
22,12,0.6270785714285714
22,13,0.6291714285714286
22,14,0.6299357142857143
23,1,0.5775642857142858
23,2,0.5775642857142858
23,3,0.5993071428571428
23,4,0.5997571428571429
23,5,0.6101714285714286
23,6,0.6113
23,7,0.6181071428571429
23,8,0.61775
23,9,0.6227357142857143
23,10,0.6226714285714285
23,11,0.6257071428571429
23,12,0.6269214285714285
23,13,0.6291928571428571
23,14,0.6292928571428571
24,1,0.5773571428571429
24,2,0.5773571428571429
24,3,0.5987071428571429
24,4,0.5992
24,5,0.6103142857142857
24,6,0.6109714285714286
24,7,0.6179642857142857
24,8,0.6178071428571429
24,9,0.6227285714285714
24,10,0.6234214285714286
24,11,0.6259214285714285
24,12,0.6262857142857143
24,13,0.6285642857142857
24,14,0.6295142857142857
